code,tod,hm,n,mean_noisy,mean_smooth,t_noisy_minus_smooth,corr_ratio_sfwd,t_ex15
IM0000,801,13:21,368,3.53,14.5,-1.15,0.097,-1.15
IM0000,802,13:22,375,2.39,14.02,-1.24,0.049,-1.24
IM0000,803,13:23,371,2.21,13.02,-1.16,-0.049,-1.16
IM0000,804,13:24,372,4.69,13.88,-0.98,-0.022,-0.98
IM0000,805,13:25,372,9.91,11.55,-0.17,0.022,-0.17
IM0000,806,13:26,364,2.64,14.99,-1.32,-0.034,-1.32
IM0000,807,13:27,365,8.56,12.1,-0.38,0.046,-0.38
IM0000,808,13:28,365,9.8,11.71,-0.2,0.069,-0.2
IM0000,809,13:29,371,9.82,12.44,-0.29,0.07,-0.29
IM0000,810,13:30,370,5.98,13.88,-0.85,0.086,-0.85
IM0000,811,13:31,372,8.37,8.74,-0.04,0.063,-0.04
IM0000,812,13:32,374,5.45,11.3,-0.6,0.078,-0.6
IM0000,813,13:33,373,2.64,12.44,-1.03,-0.067,-1.03
IM0000,814,13:34,371,5.17,9.52,-0.45,-0.045,-0.45
IM0000,815,13:35,375,6.97,6.69,0.03,-0.035,0.03
IM0000,816,13:36,368,6.74,7.5,-0.08,-0.016,-0.08
IM0000,817,13:37,374,2.87,10.27,-0.77,-0.009,-0.77
IM0000,818,13:38,370,7.18,8.74,-0.17,0.016,-0.17
IM0000,819,13:39,372,6.41,9.76,-0.37,-0.044,-0.37
IM0000,820,13:40,375,7.95,9.0,-0.12,-0.108,-0.12
IM0000,821,13:41,375,5.4,9.03,-0.39,-0.164,-0.39
IM0000,822,13:42,377,10.08,6.78,0.37,-0.136,0.37
IM0000,823,13:43,373,10.31,7.13,0.36,-0.088,0.36
IM0000,824,13:44,370,11.18,7.5,0.43,0.019,0.43
IM0000,825,13:45,367,13.0,5.34,0.91,0.012,0.91
IM0000,826,13:46,374,11.21,5.92,0.63,-0.005,0.63
IM0000,827,13:47,376,7.6,7.74,-0.01,-0.142,-0.01
IM0000,828,13:48,375,5.16,9.5,-0.49,-0.11,-0.49
IM0000,829,13:49,380,6.31,11.32,-0.6,0.027,-0.6
IM0000,830,13:50,377,4.97,11.95,-0.84,0.01,-0.84
IM0000,831,13:51,387,3.12,11.76,-1.08,-0.016,-1.08
IM0000,832,13:52,384,2.56,11.24,-1.09,-0.06,-1.09
IM0000,833,13:53,382,5.47,9.18,-0.47,-0.004,-0.47
IM0000,834,13:54,383,9.49,8.69,0.1,0.042,0.1
IM0000,835,13:55,384,12.67,7.56,0.63,0.281,0.63
IM0000,836,13:56,378,12.08,9.32,0.34,0.294,0.34
IM0000,837,13:57,380,11.99,10.01,0.25,0.206,0.25
IM0000,838,13:58,378,9.56,9.69,-0.02,0.086,-0.02
IM0000,839,13:59,376,8.54,8.67,-0.02,0.048,-0.02
IM0000,840,14:00,372,8.29,9.02,-0.09,0.111,-0.09
IM0000,841,14:01,376,12.62,7.67,0.64,0.163,0.64
IM0000,842,14:02,381,10.96,11.13,-0.02,0.125,-0.02
IM0000,843,14:03,378,10.18,10.46,-0.04,0.113,-0.04
IM0000,844,14:04,386,14.01,9.44,0.6,0.234,0.6
IM0000,845,14:05,388,15.46,5.85,1.31,0.218,1.31
IM0000,846,14:06,392,14.69,7.83,0.94,0.184,0.94
IM0000,847,14:07,390,12.47,8.76,0.5,0.175,0.5
IM0000,848,14:08,386,18.07,4.01,1.94,0.265,1.94
IM0000,849,14:09,392,14.36,6.18,1.15,0.221,1.15
IM0000,850,14:10,387,14.11,5.81,1.15,0.237,1.15
IM0000,851,14:11,386,12.86,5.38,1.05,0.232,1.05
IM0000,852,14:12,388,15.44,5.39,1.44,0.283,1.44
IM0000,853,14:13,393,13.19,5.05,1.21,0.219,1.21
IM0000,854,14:14,391,14.12,3.26,1.61,0.241,1.61
IM0000,855,14:15,392,12.98,1.7,1.71,0.202,1.71
IM0000,856,14:16,401,11.21,1.99,1.46,0.113,1.46
IM0000,857,14:17,397,12.61,1.86,1.72,0.176,1.72
IM0000,858,14:18,401,13.3,0.36,2.15,0.112,2.15
IM0000,859,14:19,400,10.81,2.54,1.41,0.102,1.41
IM0000,860,14:20,394,9.4,3.55,1.01,0.076,1.01
IM0000,861,14:21,390,10.98,3.75,1.25,0.088,1.25
IM0000,862,14:22,390,9.15,5.02,0.73,0.061,0.73
IM0000,863,14:23,392,7.91,5.25,0.49,0.009,0.49
IM0000,864,14:24,398,6.75,5.84,0.18,0.015,0.18
IM0000,865,14:25,396,7.25,4.68,0.49,0.023,0.49
IM0000,866,14:26,397,8.74,5.22,0.67,0.065,0.67
IM0000,867,14:27,387,8.88,5.75,0.57,0.069,0.57
IM0000,868,14:28,393,7.78,6.51,0.24,0.043,0.24
IM0000,869,14:29,392,8.03,6.01,0.37,0.064,0.37
IM0000,870,14:30,396,4.58,6.5,-0.37,0.097,-0.37
IM0000,871,14:31,403,3.91,5.33,-0.29,0.032,-0.29
IM0000,872,14:32,403,4.77,3.26,0.31,0.029,0.31
IM0000,873,14:33,403,4.3,4.51,-0.04,0.027,-0.04
IM0000,874,14:34,406,4.85,3.47,0.29,0.008,0.29
IM0000,875,14:35,400,5.78,1.24,0.96,0.046,0.96
IM0000,876,14:36,405,5.64,1.22,0.97,0.003,0.97
IM0000,877,14:37,403,3.86,1.67,0.49,-0.005,0.49
IM0000,878,14:38,401,3.57,1.15,0.54,0.017,0.54
IM0000,879,14:39,399,4.63,-0.2,1.14,0.075,1.14
IM0000,880,14:40,405,3.61,0.28,0.81,0.065,0.81
IM0000,881,14:41,395,4.48,-0.59,1.25,0.067,1.25
IM0000,882,14:42,394,2.02,1.82,0.05,0.023,0.05
IM0000,883,14:43,399,2.91,4.37,-0.42,0.034,-0.42
IM0000,884,14:44,397,1.33,2.74,-0.44,-0.02,-0.44
IM0000,885,14:45,402,2.69,3.41,-0.24,-0.03,-0.24
IM0000,886,14:46,400,3.67,3.69,-0.01,-0.041,-0.01
IM0000,887,14:47,398,2.38,2.28,0.04,-0.034,0.04
IM0000,888,14:48,396,1.81,1.55,0.1,-0.03,0.1
IM0000,889,14:49,394,2.01,2.64,-0.27,-0.044,-0.27
IM0000,890,14:50,393,3.53,4.53,-0.47,-0.047,-0.47
IM0000,891,14:51,388,2.16,4.59,-1.16,-0.068,-1.16
IM0000,892,14:52,386,2.24,3.34,-0.59,-0.082,-0.59
IM0000,893,14:53,391,2.24,1.75,0.32,-0.053,0.32
IM0000,894,14:54,385,1.84,1.95,-0.08,-0.043,-0.08
IM0000,895,14:55,387,2.83,4.88,-1.68,-0.118,-1.68
IM0000,896,14:56,390,0.63,1.79,-0.95,-0.055,-0.95
IM0000,897,14:57,392,1.13,1.39,-0.28,-0.036,-0.28
IM0000,898,14:58,393,0.66,1.13,-0.71,-0.033,-0.71
IM0000,899,14:59,393,0.23,0.02,1.48,0.097,1.48
